,Occupations,year,County,YearlyNumEmpbyCounty
527,Community and social service occupations,2012,"New York County, New York",23799.0
528,Community and social service occupations,2012,"Queens County, New York",26502.0
529,Community and social service occupations,2012,"Richmond County, New York",6527.875
530,Legal occupations,2012,"Bronx County, New York",5019.25
531,Legal occupations,2012,"Kings County, New York",35565.0
532,Legal occupations,2012,"New York County, New York",78158.0
533,Legal occupations,2012,"Queens County, New York",21002.0
534,Legal occupations,2012,"Richmond County, New York",6255.625
535,"Education, training, and library occupations",2012,"Bronx County, New York",48162.0
536,"Education, training, and library occupations",2012,"Kings County, New York",130260.0
537,"Education, training, and library occupations",2012,"New York County, New York",102897.0
538,"Education, training, and library occupations",2012,"Queens County, New York",95803.0
539,"Education, training, and library occupations",2012,"Richmond County, New York",32874.25
540,"Arts, design, entertainment, sports, and media occupations",2012,"Bronx County, New York",14179.5
541,"Arts, design, entertainment, sports, and media occupations",2012,"Kings County, New York",106890.0
542,"Arts, design, entertainment, sports, and media occupations",2012,"New York County, New York",149534.0
543,"Arts, design, entertainment, sports, and media occupations",2012,"Queens County, New York",46766.0
544,"Arts, design, entertainment, sports, and media occupations",2012,"Richmond County, New York",5109.0
545,Health diagnosing and treating practitioners and other technical occupations,2012,"Bronx County, New York",19135.0
546,Health diagnosing and treating practitioners and other technical occupations,2012,"Kings County, New York",52835.0
547,Health diagnosing and treating practitioners and other technical occupations,2012,"New York County, New York",69554.0
548,Health diagnosing and treating practitioners and other technical occupations,2012,"Queens County, New York",55972.0
549,Health diagnosing and treating practitioners and other technical occupations,2012,"Richmond County, New York",15995.125
550,Health technologists and technicians,2012,"Bronx County, New York",10156.0
551,Health technologists and technicians,2012,"Kings County, New York",19240.0
552,Health technologists and technicians,2012,"New York County, New York",11158.0
553,Health technologists and technicians,2012,"Queens County, New York",22730.0
554,Health technologists and technicians,2012,"Richmond County, New York",6497.125
555,Healthcare support occupations,2012,"Bronx County, New York",58797.5
556,Healthcare support occupations,2012,"Kings County, New York",95601.0
557,Healthcare support occupations,2012,"New York County, New York",34246.0
558,Healthcare support occupations,2012,"Queens County, New York",61379.0
559,Healthcare support occupations,2012,"Richmond County, New York",10955.25
560,"Fire fighting and prevention, and other protective service workers including supervisors",2012,"Bronx County, New York",23577.0
561,"Fire fighting and prevention, and other protective service workers including supervisors",2012,"Kings County, New York",32230.0
562,"Fire fighting and prevention, and other protective service workers including supervisors",2012,"New York County, New York",15813.0
563,"Fire fighting and prevention, and other protective service workers including supervisors",2012,"Queens County, New York",29092.0
564,"Fire fighting and prevention, and other protective service workers including supervisors",2012,"Richmond County, New York",11009.625
565,Law enforcement workers including supervisors,2012,"Bronx County, New York",8077.75
566,Law enforcement workers including supervisors,2012,"Kings County, New York",17328.0
567,Law enforcement workers including supervisors,2012,"New York County, New York",6221.0
568,Law enforcement workers including supervisors,2012,"Queens County, New York",19975.0
569,Law enforcement workers including supervisors,2012,"Richmond County, New York",9324.25
570,Food preparation and serving related occupations,2012,"Bronx County, New York",71511.75
571,Food preparation and serving related occupations,2012,"Kings County, New York",98397.0
572,Food preparation and serving related occupations,2012,"New York County, New York",60997.0
573,Food preparation and serving related occupations,2012,"Queens County, New York",123803.0
574,Food preparation and serving related occupations,2012,"Richmond County, New York",13030.25
575,Building and grounds cleaning and maintenance occupations,2012,"Bronx County, New York",69101.5
576,Building and grounds cleaning and maintenance occupations,2012,"Kings County, New York",81249.0
577,Building and grounds cleaning and maintenance occupations,2012,"New York County, New York",29148.0
578,Building and grounds cleaning and maintenance occupations,2012,"Queens County, New York",97891.0
579,Building and grounds cleaning and maintenance occupations,2012,"Richmond County, New York",10482.625
580,Personal care and service occupations,2012,"Bronx County, New York",60897.75
581,Personal care and service occupations,2012,"Kings County, New York",82372.0
582,Personal care and service occupations,2012,"New York County, New York",49883.0
583,Personal care and service occupations,2012,"Queens County, New York",88788.0
584,Personal care and service occupations,2012,"Richmond County, New York",14054.125
585,Sales and related occupations,2012,"Bronx County, New York",91372.25
586,Sales and related occupations,2012,"Kings County, New York",182074.0
587,Sales and related occupations,2012,"New York County, New York",188072.0
588,Sales and related occupations,2012,"Queens County, New York",162031.0
589,Sales and related occupations,2012,"Richmond County, New York",37458.125
590,Office and administrative support occupations,2012,"Bronx County, New York",126120.0
591,Office and administrative support occupations,2012,"Kings County, New York",227787.0
592,Office and administrative support occupations,2012,"New York County, New York",132269.0
593,Office and administrative support occupations,2012,"Queens County, New York",236401.0
