,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,Gender
17,Health technologists and technicians,45907,52152,37903,50358,44025,2016,Male
19,Healthcare support occupations,32741,27086,22353,30785,32212,2016,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",27193,32854,32031,36341,53884,2016,Male
22,Law enforcement workers including supervisors,61782,61815,73132,61691,81825,2016,Male
23,Food preparation and serving related occupations,21296,21537,23728,24060,25302,2016,Male
24,Building and grounds cleaning and maintenance occupations,26873,28465,32323,32476,41716,2016,Male
25,Personal care and service occupations,30987,24275,31388,31033,24345,2016,Male
27,Sales and related occupations,25104,33485,80119,30020,44499,2016,Male
28,Office and administrative support occupations,25635,31678,40955,37174,41534,2016,Male
30,"Farming, fishing, and forestry occupations",30833,31399,,25468,,2016,Male
31,Construction and extraction occupations,31630,31199,35291,35311,50699,2016,Male
32,"Installation, maintenance, and repair occupations",37092,45102,40702,43584,56655,2016,Male
34,Production occupations,26814,30184,25835,31455,66207,2016,Male
35,Transportation occupations,30746,30429,26706,31352,50934,2016,Male
36,Material moving occupations,26553,22998,26071,31640,41565,2016,Male
40,Management occupations,51837,68255,91611,65105,73651,2016,Female
41,Business and financial operations occupations,52176,55340,80324,61605,59258,2016,Female
43,Computer and mathematical occupations,61926,71871,77045,70911,77821,2016,Female
44,Architecture and engineering occupations,32207,66174,65732,69593,90081,2016,Female
45,"Life, physical, and social science occupations",32269,46409,60508,52297,56694,2016,Female
47,Community and social service occupations,42591,44802,39468,46544,42252,2016,Female
48,Legal occupations,51660,79766,140763,60952,91464,2016,Female
49,"Education, training, and library occupations",32289,41073,51448,40260,51053,2016,Female
50,"Arts, design, entertainment, sports, and media occupations",35000,51668,57070,46082,68355,2016,Female
52,Health diagnosing and treating practitioners and other technical occupations,75063,71290,79470,71578,75913,2016,Female
53,Health technologists and technicians,37281,40327,50213,43888,46342,2016,Female
55,Healthcare support occupations,20186,22300,19594,25601,24660,2016,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",18129,33601,21921,15546,13795,2016,Female
58,Law enforcement workers including supervisors,58750,51754,65719,59654,68214,2016,Female
59,Food preparation and serving related occupations,15845,17589,20392,17262,20959,2016,Female
60,Building and grounds cleaning and maintenance occupations,14904,19396,16030,19634,30285,2016,Female
61,Personal care and service occupations,14800,20212,15073,17634,19359,2016,Female
63,Sales and related occupations,16128,20341,51245,19712,22212,2016,Female
64,Office and administrative support occupations,34015,33248,39315,36160,38858,2016,Female
66,"Farming, fishing, and forestry occupations",,20219,,21421,,2016,Female
67,Construction and extraction occupations,42030,51592,57971,41543,61084,2016,Female
68,"Installation, maintenance, and repair occupations",46051,27482,81594,36510,,2016,Female
70,Production occupations,17446,21474,25687,22324,16950,2016,Female
71,Transportation occupations,29633,31120,43432,26669,31812,2016,Female
72,Material moving occupations,19350,20690,16447,17666,,2016,Female
4,Management occupations,51890,79988,123686,70073,83066,2017,Male
5,Business and financial operations occupations,60387,74936,120680,72197,62369,2017,Male
7,Computer and mathematical occupations,65189,84436,102359,80722,101927,2017,Male
8,Architecture and engineering occupations,51159,77074,80665,81217,102358,2017,Male
9,"Life, physical, and social science occupations",51780,77092,76595,71949,102528,2017,Male
11,Community and social service occupations,36592,37854,39292,40381,32847,2017,Male
12,Legal occupations,92083,111224,180189,92130,77141,2017,Male
13,"Education, training, and library occupations",51480,41155,68066,51423,61929,2017,Male
14,"Arts, design, entertainment, sports, and media occupations",40477,56232,66363,51022,40974,2017,Male
16,Health diagnosing and treating practitioners and other technical occupations,62091,80767,110323,80393,96819,2017,Male
17,Health technologists and technicians,49470,40748,49292,46818,50533,2017,Male
19,Healthcare support occupations,29344,26768,25315,33452,23995,2017,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",32435,33815,39559,35603,83021,2017,Male
22,Law enforcement workers including supervisors,58658,66705,78125,90325,91313,2017,Male
23,Food preparation and serving related occupations,22886,22440,25051,25635,21822,2017,Male
24,Building and grounds cleaning and maintenance occupations,27204,31163,29019,32848,47689,2017,Male
25,Personal care and service occupations,26783,25993,37381,30474,21063,2017,Male
27,Sales and related occupations,22080,34683,76708,32125,52966,2017,Male
28,Office and administrative support occupations,30997,30948,45204,38914,45684,2017,Male
30,"Farming, fishing, and forestry occupations",,21539,14021,35284,,2017,Male
31,Construction and extraction occupations,30548,35533,35290,39841,50004,2017,Male
32,"Installation, maintenance, and repair occupations",36917,43810,31319,44545,51764,2017,Male
34,Production occupations,29344,36684,36435,34625,47940,2017,Male
35,Transportation occupations,26509,33789,26270,32147,45580,2017,Male
36,Material moving occupations,22845,25903,20419,28768,46366,2017,Male
40,Management occupations,61515,71482,93950,68997,73571,2017,Female
41,Business and financial operations occupations,54891,62881,91975,60822,55300,2017,Female
43,Computer and mathematical occupations,58610,74384,70696,67188,101120,2017,Female
44,Architecture and engineering occupations,52604,61844,69588,65238,,2017,Female
45,"Life, physical, and social science occupations",41853,67793,65967,50128,67472,2017,Female
47,Community and social service occupations,41509,46633,50875,44694,47423,2017,Female
48,Legal occupations,55435,80305,130850,61989,83174,2017,Female
49,"Education, training, and library occupations",39749,40490,42958,46452,52887,2017,Female
50,"Arts, design, entertainment, sports, and media occupations",35840,55944,59299,50312,50915,2017,Female
52,Health diagnosing and treating practitioners and other technical occupations,75022,77021,85135,71963,78583,2017,Female
53,Health technologists and technicians,38016,37513,61766,45434,46303,2017,Female
55,Healthcare support occupations,18474,23494,19282,25658,26672,2017,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",21257,25371,47905,26619,40155,2017,Female
58,Law enforcement workers including supervisors,80857,56277,57099,61437,55291,2017,Female
