"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"Average household size","2.50","0.07","2.72","0.07","3.17","0.07","3.03","0.05","2.67","0.05","2.55","0.02","2.74","0.04","3.40","0.07","3.38","0.12","3.06","0.07","2.69","0.02","1.95","0.04","2.31","0.09","2.15","0.10","3.36","0.17","2.48","0.25","2.93","0.11","1.98","0.03","2.54","0.03","2.97","0.07","3.28","0.07","3.55","0.12","3.36","0.25","3.32","0.07","2.76","0.02"
"Average family size","3.40","0.10","3.50","0.09","3.73","0.08","3.65","0.07","3.51","0.08","3.34","0.04","3.45","0.06","3.83","0.08","3.72","0.12","3.54","0.09","3.45","0.03","2.93","0.07","3.68","0.20","3.02","0.15","4.08","0.21","3.68","0.33","4.02","0.17","2.96","0.06","3.28","0.06","3.67","0.10","3.71","0.07","3.85","0.12","3.93","0.23","3.68","0.08","3.49","0.04"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 15 years and over","246810","8155","372350","5115","408047","9411","592149","*****","521087","467","906593","8714","713109","6098","242418","2009","173424","8964","392130","*****","1689114","420","828045","9960","207597","6230","169009","3846","165926","11342","44584","6878","346213","*****","1075883","163","823396","10813","347864","5353","472422","4142","200649","10997","53335","5570","506843","*****","1396181","575"
"Now married, except separated","35.0","2.0","24.9","1.4","28.8","1.7","28.4","1.4","31.8","1.1","46.3","0.9","27.5","1.1","57.9","1.3","35.5","2.5","34.4","1.5","41.3","0.7","34.9","1.4","19.4","2.3","42.3","2.9","26.6","3.1","27.7","4.6","26.7","1.9","34.1","1.2","43.6","1.1","33.0","1.3","57.8","1.2","44.7","2.3","43.4","3.7","39.5","1.4","47.4","0.8"
"Widowed","9.2","0.9","6.8","0.7","3.9","0.5","4.5","0.5","8.0","0.6","6.2","0.3","5.9","0.4","3.5","0.5","3.9","0.8","4.2","0.5","5.9","0.2","4.5","0.4","6.5","1.0","4.8","1.2","4.7","1.2","5.7","2.0","5.8","0.7","4.6","0.4","7.3","0.4","5.9","0.4","4.2","0.4","3.1","0.8","4.3","1.5","4.0","0.5","6.3","0.3"
"Divorced","10.0","0.9","9.1","1.0","10.0","0.8","10.1","0.6","8.4","0.7","7.0","0.4","9.0","0.6","3.8","0.6","7.1","1.0","7.6","0.7","7.3","0.3","8.0","0.6","9.7","1.4","4.3","0.9","11.1","1.8","11.4","3.8","10.9","1.1","7.5","0.5","8.2","0.5","9.8","0.8","5.2","0.5","6.4","1.0","6.1","1.4","8.2","0.7","7.3","0.3"
"Separated","3.8","0.7","5.2","0.6","6.8","0.7","6.5","0.6","4.1","0.4","2.1","0.2","5.0","0.4","1.5","0.4","4.5","1.0","4.6","0.6","2.9","0.2","2.1","0.4","4.7","0.8","1.8","0.6","5.4","1.6","3.2","1.8","4.9","0.9","2.2","0.3","2.7","0.3","4.5","0.6","1.8","0.3","3.6","0.6","2.8","1.0","3.6","0.5","2.6","0.2"
"Never married","42.1","1.9","53.9","1.6","50.6","1.7","50.5","1.3","47.8","1.1","38.3","0.8","52.6","1.0","33.4","1.1","49.1","2.6","49.1","1.5","42.6","0.6","50.4","1.3","59.7","2.4","46.9","2.4","52.2","2.9","52.1","5.0","51.7","1.8","51.6","1.1","38.2","0.9","46.8","1.2","30.9","1.1","42.2","2.0","43.5","3.5","44.6","1.2","36.4","0.7"
"Male 15 years and over","116262","4571","165446","2764","191772","5470","273057","*****","240487","521","441790","4322","302212","3297","117595","1085","84927","4877","190431","*****","777231","358","395034","5467","94310","3923","72682","2210","77457","5969","21851","4722","162400","*****","501431","541","403591","5926","155155","3143","226866","2093","100881","6200","25155","2813","254323","*****","660014","649"
"Now married, except separated","37.6","2.3","29.0","1.7","32.6","2.2","31.9","1.8","35.4","1.4","49.0","1.1","32.3","1.5","59.6","1.5","38.1","2.9","36.9","1.8","45.5","0.9","37.0","1.5","22.5","3.2","43.6","3.7","29.8","3.9","29.8","7.3","29.6","2.4","36.2","1.4","46.3","1.2","39.2","1.7","58.8","1.5","43.9","2.7","44.1","4.5","40.4","1.7","50.7","0.9"
"Widowed","2.9","0.7","3.0","0.6","1.6","0.6","1.8","0.4","2.9","0.5","2.5","0.3","2.9","0.4","1.1","0.4","2.0","0.9","2.0","0.6","2.5","0.3","2.4","0.5","3.0","1.0","1.9","1.2","1.5","1.2","3.3","2.8","3.0","0.9","2.2","0.4","2.5","0.4","2.2","0.6","1.6","0.4","1.3","0.8","1.0","0.8","1.6","0.5","2.3","0.3"
"Divorced","9.2","1.4","7.4","1.1","7.2","1.2","7.5","0.9","7.7","0.8","5.7","0.5","7.1","0.8","3.0","0.9","5.1","1.3","5.6","0.6","5.8","0.4","6.5","0.8","8.4","1.8","4.7","1.8","7.0","1.9","12.7","6.8","7.7","1.4","6.6","0.8","6.9","0.7","6.9","1.0","4.7","0.7","4.1","1.2","3.7","1.7","6.3","0.8","5.8","0.4"
"Separated","2.3","0.6","4.6","1.1","4.7","0.9","4.3","0.6","3.7","0.8","1.7","0.3","3.6","0.6","1.0","0.5","2.0","0.9","2.7","0.7","2.1","0.3","1.5","0.5","3.4","1.1","1.5","0.8","3.5","1.8","0.3","0.5","3.1","1.2","1.6","0.4","1.9","0.3","3.4","0.8","1.4","0.4","2.4","0.8","2.9","1.5","2.2","0.5","2.0","0.3"
"Never married","47.9","2.5","56.1","2.0","53.9","2.3","54.5","1.8","50.4","1.5","41.1","1.1","54.2","1.3","35.3","1.4","52.8","3.1","52.9","2.0","44.1","0.7","52.5","1.7","62.7","3.3","48.2","3.3","58.3","4.0","54.0","7.5","56.6","2.4","53.4","1.5","42.4","1.2","48.3","1.7","33.5","1.3","48.2","2.5","48.3","5.1","49.5","1.7","39.2","0.9"
"Female 15 years and over","130548","4925","206904","3257","216275","5624","319092","*****","280600","364","464803","5121","410897","3771","124823","1337","88497","5007","201699","*****","911883","291","433011","5986","113287","3493","96327","2299","88469","6621","22733","3703","183813","*****","574452","434","419805","5745","192709","2882","245556","2385","99768","5771","28180","3502","252520","*****","736167","243"
"Now married, except separated","32.7","2.2","21.7","1.5","25.5","1.7","25.5","1.4","28.6","1.5","43.8","1.1","23.9","1.2","56.3","1.8","32.9","2.7","32.1","1.7","37.7","0.8","33.0","1.6","16.8","2.3","41.2","3.2","23.8","3.2","25.6","5.2","24.1","2.1","32.3","1.4","41.1","1.3","28.1","1.5","56.9","1.5","45.4","2.6","42.7","4.5","38.7","1.4","44.5","1.0"
"Widowed","14.8","1.5","9.9","1.1","6.0","0.8","6.9","0.7","12.4","0.9","9.8","0.6","8.2","0.6","5.7","0.7","5.6","1.3","6.4","0.8","8.8","0.3","6.5","0.7","9.4","1.6","6.9","1.5","7.5","2.0","8.1","3.1","8.4","1.1","6.8","0.6","11.8","0.7","8.9","0.8","6.7","0.6","4.8","1.2","7.2","2.6","6.5","0.8","10.0","0.4"
"Divorced","10.6","1.1","10.5","1.4","12.4","1.2","12.3","0.8","9.0","1.0","8.2","0.6","10.4","0.7","4.5","0.7","9.0","1.5","9.6","1.0","8.5","0.4","9.4","0.8","10.8","1.5","4.0","1.3","14.6","2.9","10.1","3.9","13.7","1.6","8.3","0.6","9.5","0.7","12.1","1.3","5.7","0.7","8.7","1.5","8.1","2.2","10.1","1.0","8.6","0.4"
"Separated","5.0","1.0","5.8","0.8","8.6","1.0","8.4","0.8","4.4","0.6","2.5","0.4","6.1","0.5","2.0","0.6","6.9","1.7","6.4","0.9","3.6","0.3","2.5","0.6","5.8","1.1","2.0","0.9","7.1","2.3","6.0","3.6","6.5","1.1","2.7","0.5","3.5","0.5","5.4","0.9","2.1","0.5","4.8","1.1","2.8","1.3","5.0","0.8","3.2","0.3"
"Never married","36.9","2.3","52.2","2.0","47.6","1.9","47.0","1.5","45.5","1.7","35.6","0.8","51.4","1.2","31.6","1.5","45.5","3.0","45.5","1.7","41.3","0.7","48.6","1.6","57.3","2.8","45.9","2.7","46.9","3.9","50.3","7.4","47.4","2.2","50.0","1.3","34.2","1.1","45.6","1.5","28.5","1.3","36.2","2.6","39.2","4.0","39.7","1.4","33.8","0.8"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 3 years and over enrolled in school","69488","4770","139746","5118","163662","6982","228699","4756","177703","4228","266646","6665","239785","5470","73934","2378","64118","4451","140628","3357","529495","6078","164559","8213","62045","4671","37091","3425","55838","6089","20219","3985","107983","4720","232968","7247","202220","6939","108992","4420","131832","3713","70645","5491","26619","3147","169744","4456","373164","6194"
"Nursery school, preschool","6.5","1.6","6.6","1.1","4.7","0.7","5.1","0.6","6.7","0.9","7.3","0.6","7.3","0.7","6.8","1.3","8.2","1.9","8.3","1.1","7.5","0.4","8.1","1.3","5.6","1.9","4.3","2.0","4.7","1.7","14.7","5.0","6.1","1.6","7.5","0.9","5.2","0.7","6.6","1.3","5.4","1.0","5.9","1.8","9.0","3.4","6.3","1.0","5.5","0.6"
"Kindergarten","4.3","1.4","4.0","0.9","5.8","0.9","5.4","0.7","4.2","0.9","7.6","0.6","5.5","0.7","5.2","1.0","5.4","1.4","6.8","1.1","6.2","0.5","3.1","0.8","3.2","1.5","2.0","1.3","3.3","2.0","3.7","2.8","3.4","1.2","2.9","0.7","5.7","1.0","4.7","1.1","4.9","1.0","6.9","2.1","4.5","1.8","6.1","1.1","5.1","0.7"
"Elementary school (grades 1-8)","35.5","3.0","39.4","1.8","42.9","1.8","42.3","1.4","37.2","1.3","37.9","1.1","35.9","0.9","34.3","2.1","45.5","3.2","41.7","1.5","36.4","0.7","24.1","1.5","32.9","3.5","24.3","3.7","36.2","3.4","36.3","6.2","34.3","2.0","25.7","1.1","37.2","1.7","34.9","1.8","35.2","1.6","40.2","3.7","39.0","5.3","40.8","1.6","35.0","1.0"
"High school (grades 9-12)","18.1","2.1","20.6","1.3","23.9","1.5","23.3","1.1","19.3","1.2","17.5","0.9","21.4","1.1","19.7","1.4","20.3","2.4","21.1","1.2","19.1","0.6","10.4","1.0","20.9","3.4","9.4","2.3","21.3","3.0","18.3","5.6","20.2","1.5","11.8","1.1","18.3","1.2","22.4","1.5","18.9","1.3","21.3","2.7","19.0","3.4","20.0","1.1","19.5","0.8"
"College or graduate school","35.6","3.2","29.4","2.0","22.7","2.2","24.0","1.5","32.5","1.6","29.7","1.2","29.8","1.2","33.9","1.7","20.6","2.8","22.3","1.6","30.8","0.7","54.3","2.0","37.4","4.0","59.9","4.2","34.5","4.5","27.1","7.2","36.0","2.7","52.1","1.4","33.7","1.7","31.3","2.0","35.6","1.6","25.7","3.3","28.4","3.9","26.8","1.6","34.8","1.1"
"Male 3 years and over enrolled in school","33939","2968","67472","3072","80937","4203","111201","3092","86827","2614","133608","3839","111142","3459","38476","1551","33392","2510","69070","1878","259087","3865","73831","5436","27520","2710","16569","1896","28398","3813","8935","2352","51483","3158","104297","4038","99002","4668","48958","2638","67021","2479","37568","3789","14494","2128","85409","3517","183402","3635"
"Percent enrolled in kindergarten to grade 12","58.3","4.8","68.0","2.9","76.6","2.7","74.7","2.0","64.2","2.4","64.7","1.4","68.3","1.8","60.2","2.8","72.6","4.6","74.2","2.2","64.4","1.0","43.5","2.8","60.7","5.9","41.7","6.1","68.2","6.2","64.3","10.0","64.8","4.6","45.6","2.1","63.7","2.1","65.9","2.8","59.2","2.0","71.4","4.4","67.1","6.5","68.8","2.7","62.3","1.3"
"Percent enrolled in college or graduate school","35.5","4.2","24.7","3.1","18.1","2.8","19.9","2.2","28.5","2.4","28.1","1.3","24.0","1.8","31.9","2.5","18.8","4.3","18.9","2.0","27.6","1.0","47.6","2.9","33.4","5.7","52.4","6.7","27.2","5.7","25.9","9.1","29.4","4.3","46.4","2.3","30.8","2.2","27.0","2.7","35.1","2.0","22.7","4.5","25.2","5.2","24.8","2.7","31.9","1.2"
"Female 3 years and over enrolled in school","35549","3303","72274","3322","82725","4388","117498","3155","90876","3107","133038","4294","128643","3651","35458","1556","30726","3107","71558","2451","270408","4406","90728","5182","34525","3230","20522","2420","27440","3283","11284","2675","56500","2808","128671","5594","103218","4373","60034","2829","64811","2478","33077","3136","12125","1710","84335","2493","189762","4358"
"Percent enrolled in kindergarten to grade 12","57.5","3.4","60.3","2.5","68.8","2.8","67.4","1.9","57.4","2.2","61.2","1.9","58.2","1.7","58.3","2.4","69.8","4.4","64.9","2.3","59.2","1.2","32.8","2.6","54.0","4.5","31.1","4.6","53.1","5.6","53.4","9.0","51.5","2.9","36.1","1.9","58.7","2.0","59.0","2.9","58.7","2.4","65.1","4.4","57.0","5.9","65.0","1.9","57.0","1.5"
"Percent enrolled in college or graduate school","35.7","3.9","33.8","2.4","27.2","2.7","27.8","1.8","36.4","2.1","31.3","1.7","34.8","1.7","36.1","2.4","22.5","4.0","25.5","2.4","33.8","1.0","59.7","2.5","40.6","4.4","65.9","4.7","42.0","5.9","28.0","9.2","42.0","3.0","56.7","1.8","36.4","2.0","34.8","2.6","36.1","2.1","29.1","3.7","32.4","5.4","28.8","1.9","37.7","1.4"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 25 years and over","209048","6740","300252","4123","311007","7301","457830","*****","429909","362","779605","7549","580620","4901","203906","1677","135015","7209","311939","*****","1421807","471","738735","8639","173399","5970","146524","2734","129268","9695","36524","6225","282264","*****","947946","506","717077","8811","286875","4234","404470","3301","160805","8559","42479","4899","412552","*****","1203131","713"
"Less than high school diploma","27.0","2.0","20.8","1.6","38.4","1.8","36.6","1.5","20.2","1.2","13.6","0.6","20.1","0.8","37.3","2.5","44.5","3.1","40.7","1.6","16.9","0.6","6.1","0.7","21.9","2.3","15.8","2.0","36.7","3.5","21.7","6.3","32.9","2.3","7.5","0.6","17.1","0.9","14.3","1.3","21.7","1.3","30.8","2.6","24.1","4.1","29.7","1.6","15.8","0.6"
"High school graduate (includes equivalency)","26.8","1.4","31.2","1.6","26.8","1.5","26.9","1.3","29.3","1.3","23.2","0.7","32.3","1.2","19.3","1.7","27.4","2.7","26.1","1.7","26.0","0.6","8.6","0.9","26.0","2.2","9.6","1.8","25.6","3.0","13.2","4.4","22.8","1.7","10.2","0.7","28.0","0.9","31.0","1.4","20.4","1.1","36.4","2.5","23.5","3.0","31.9","1.3","25.8","0.7"
"Some college or associate's degree","21.8","1.7","29.0","1.5","22.9","1.7","23.7","1.4","26.0","1.2","17.6","0.6","27.1","1.2","11.1","1.1","16.2","1.7","18.7","1.1","20.2","0.5","9.8","0.8","25.0","2.2","9.2","1.8","18.8","2.5","18.9","4.1","19.5","1.8","11.3","0.7","22.2","0.9","32.1","1.6","19.1","1.3","19.3","2.0","21.7","3.3","22.0","1.4","23.2","0.7"
"Bachelor's degree","13.2","1.3","12.3","1.1","8.6","0.9","9.1","0.7","14.2","1.0","25.6","0.8","13.7","0.7","22.7","1.5","8.2","1.5","9.1","1.0","22.2","0.5","40.4","1.3","16.4","1.8","35.0","2.8","13.7","2.0","25.5","4.7","16.7","1.7","37.8","1.1","19.5","0.9","14.9","1.3","25.5","1.4","10.0","1.6","20.7","3.5","11.4","1.1","21.9","0.7"
"Graduate or professional degree","11.3","1.0","6.6","0.9","3.3","0.6","3.7","0.5","10.3","0.9","20.0","0.7","6.8","0.5","9.6","1.0","3.7","0.8","5.3","0.6","14.6","0.5","35.1","1.4","10.7","1.6","30.5","2.2","5.2","1.4","20.7","5.0","8.0","1.0","33.2","1.2","13.1","0.7","7.6","0.7","13.3","1.0","3.5","0.8","10.0","2.7","5.0","0.6","13.3","0.5"
"High school graduate or higher","73.0","2.0","79.2","1.6","61.6","1.8","63.4","1.5","79.8","1.2","86.4","0.6","79.9","0.8","62.7","2.5","55.5","3.1","59.3","1.6","83.1","0.6","93.9","0.7","78.1","2.3","84.2","2.0","63.3","3.5","78.3","6.3","67.1","2.3","92.5","0.6","82.9","0.9","85.7","1.3","78.3","1.3","69.2","2.6","75.9","4.1","70.3","1.6","84.2","0.6"
"Male, high school graduate or higher","72.3","2.7","77.6","2.5","61.1","2.9","62.6","2.4","78.7","1.9","86.1","1.0","79.2","1.3","64.1","2.8","54.3","4.2","58.1","2.3","83.0","0.7","93.8","0.9","75.9","3.1","84.9","2.4","63.5","5.8","79.6","7.3","67.2","3.3","92.5","0.8","83.0","1.2","85.1","1.6","80.9","1.6","66.1","3.5","76.8","5.2","68.6","2.1","85.4","0.8"
"Female, high school graduate or higher","73.6","2.3","80.4","1.7","61.9","2.0","64.0","1.7","80.7","1.3","86.7","0.8","80.4","1.0","61.4","2.8","56.6","3.4","60.3","1.9","83.1","0.7","94.1","0.8","79.9","2.9","83.7","2.8","63.2","3.8","77.1","8.3","67.0","2.5","92.6","0.8","82.9","1.0","86.2","1.6","75.8","1.5","72.3","3.0","75.0","4.3","72.0","1.8","83.2","0.7"
"Bachelor's degree or higher","24.4","1.6","18.9","1.3","11.9","1.2","12.8","0.9","24.5","1.2","45.6","0.9","20.5","0.9","32.3","1.6","11.9","1.7","14.4","1.2","36.8","0.6","75.5","1.3","27.1","2.3","65.5","2.6","18.9","2.2","46.1","5.8","24.8","1.8","71.0","1.0","32.7","1.0","22.6","1.4","38.8","1.7","13.5","1.8","30.6","4.4","16.4","1.2","35.2","0.9"
"Male, bachelor's degree or higher","22.9","2.4","15.9","1.8","9.5","1.7","10.6","1.3","22.6","1.8","45.1","1.1","18.0","1.3","33.6","2.1","10.0","1.7","12.3","1.3","37.0","0.8","75.1","1.9","22.9","3.0","65.9","3.5","15.8","3.9","44.4","8.6","23.4","2.5","70.6","1.3","32.7","1.4","19.5","1.8","39.9","2.1","11.3","2.0","30.3","5.3","14.8","1.4","35.6","1.1"
"Female, bachelor's degree or higher","25.7","2.0","21.2","1.8","13.9","1.5","14.7","1.2","26.1","1.6","46.1","1.0","22.3","1.2","31.1","1.8","13.6","2.7","16.4","1.7","36.7","0.8","75.9","1.3","30.6","3.3","65.2","3.0","21.5","3.3","47.7","8.8","25.9","2.4","71.4","1.2","32.7","1.2","24.9","1.9","37.8","1.7","15.7","2.7","30.8","5.4","18.0","1.4","34.9","1.0"
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Women 15 to 50 years","64039","3693","129419","2745","158198","5066","218800","1277","163371","1067","284664","3946","253582","3476","85638","1428","64834","3999","137461","1023","569157","1864","268111","4891","65239","2570","69299","2107","59841","5064","16713","2965","115220","1272","365974","1400","229946","4592","113382","2462","158068","2181","72497","4669","18464","2079","172089","1219","421834","1613"
"Women 15 to 50 years who had a birth in the past 12 months","3721","1148","6389","1198","10338","1912","13904","2051","8404","1501","16597","2145","10606","1791","3951","931","3586","937","7601","1454","28145","2745","10107","2156","1934","1044","1852","813","1848","872","177","159","3186","1056","12732","2673","11147","1867","4705","1339","7723","1370","4299","1195","496","278","8908","1727","19462","2292"
"Unmarried women 15 to 50 years who had a birth in the past 12 months","1035","504","2949","850","6603","1604","8096","1719","3268","945","2188","748","6628","1319","550","438","2150","707","4016","1091","7911","1553","1594","794","838","457","N","N","623","615","N","N","1254","803","1828","793","2970","904","2956","1060","759","354","1837","809","230","182","4510","1204","4242","1156"
"As a percent of all women with a birth in the past 12 months","27.8","10.7","46.2","10.3","63.9","9.4","58.2","7.9","38.9","8.1","13.2","4.1","62.5","6.4","13.9","10.3","60.0","15.2","52.8","9.9","28.1","4.4","15.8","7.2","43.3","21.9","N","N","33.7","26.3","N","N","39.4","19.5","14.4","5.6","26.6","6.8","62.8","13.1","9.8","4.6","42.7","13.4","46.4","29.7","50.6","9.9","21.8","5.3"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 30 years and over","188865","5795","264850","3645","264632","6550","393493","*****","383679","362","666897","6125","510645","4079","175355","1529","112946","5877","266231","*****","1229154","408","612152","7243","152517","5464","119943","2510","109699","8176","30556","5686","242697","*****","787037","517","638336","7542","256387","3706","356697","3033","135908","7123","36717","4361","356089","*****","1071572","649"
"Living with grandchild(ren)","3.9","0.9","5.1","0.9","7.0","1.0","6.8","0.8","4.5","0.7","2.2","0.3","6.8","0.6","8.2","1.1","6.8","1.4","6.5","0.8","4.6","0.3","1.2","0.3","3.3","1.2","1.6","0.9","8.2","2.4","5.7","3.0","6.5","1.4","1.2","0.3","2.9","0.4","6.7","0.7","7.2","0.9","7.2","1.4","6.9","2.3","5.7","0.9","5.0","0.4"
"Responsible for grandchild(ren)","28.0","9.5","32.7","8.1","29.3","6.9","30.4","5.3","28.9","6.7","21.6","5.5","30.5","3.8","26.7","6.9","32.5","10.0","28.4","6.0","27.7","3.2","21.7","10.4","29.7","15.5","31.6","30.9","39.7","14.3","59.1","23.4","32.9","9.3","34.5","13.0","28.0","5.6","36.5","6.0","16.1","5.2","24.0","7.6","28.3","10.2","26.2","5.4","24.9","3.9"
"VETERAN STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civilian population 18 years and over","238088","7642","352188","4717","381851","8782","555679","635","497078","587","871792","8424","677089","5931","231568","1919","163558","8426","370701","50","1615494","522","814317","9662","199744","6076","166622","3549","158142","10980","41885","6653","331555","11","1056090","306","796373","10394","331651","5044","454088","3896","189143","10479","50024","5442","481665","159","1344694","438"
"Civilian veteran","5.0","0.8","3.3","0.5","1.5","0.4","1.9","0.4","3.9","0.4","2.6","0.2","2.5","0.3","0.7","0.2","1.1","0.4","2.0","0.5","2.3","0.2","2.8","0.3","3.3","0.8","0.5","0.3","0.9","0.5","1.4","1.2","1.4","0.4","2.6","0.3","3.6","0.3","3.4","0.4","0.6","0.2","0.8","0.3","2.5","1.0","1.5","0.3","2.8","0.2"
"DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total civilian noninstitutionalized population","285437","10500","459246","6537","537432","12511","766811","1473","627934","1694","1112680","11452","880469","8216","293691","2783","226012","11287","505388","684","2076552","1623","915398","13440","240572","8102","186427","4518","203969","14895","61653","8716","416916","739","1198774","2091","965590","14417","417088","6405","560550","4983","256366","14253","74378","7337","639936","598","1641301","2048"
"With a disability","19.3","1.3","13.6","1.0","12.5","0.8","14.5","0.8","13.6","0.7","10.7","0.4","9.6","0.5","5.5","0.6","9.7","1.3","10.3","0.9","9.5","0.3","8.0","0.5","15.1","1.6","8.0","1.7","10.7","1.9","12.6","3.4","13.3","1.1","8.4","0.5","11.4","0.5","11.1","0.7","6.4","0.5","6.5","1.1","10.5","2.1","8.0","0.6","10.1","0.4"
"Civilian noninstitutionalized population under 18 years","54214","4170","117020","3173","160376","5560","218431","172","146064","497","243233","4789","207326","3675","62748","1735","63896","4641","137031","119","467591","177","105597","5012","45512","3066","20006","1697","46098","5527","20002","3971","87729","104","150368","222","176856","5234","89287","2103","108117","2236","67351","4951","24716","3119","160099","244","308470","600"
"With a disability","7.4","2.2","6.9","1.9","5.7","1.2","6.4","1.0","5.9","1.5","1.8","0.4","2.7","0.6","1.1","0.5","4.9","1.7","4.0","1.1","1.9","0.3","1.9","0.9","3.8","2.0","3.8","4.7","3.6","2.0","4.6","2.0","3.8","1.4","2.5","1.0","3.6","0.9","3.0","1.0","1.9","0.6","3.1","2.0","3.8","1.5","4.2","1.2","2.5","0.5"
"Civilian noninstitutionalized population 18 to 64 years","176091","7034","295112","4303","341337","8625","484396","972","397869","1357","712824","7415","570364","5575","204233","1827","147153","7717","324150","523","1348064","849","665986","9168","162957","5121","145181","2924","136805","9775","36137","5833","277950","500","874300","1272","623550","9676","273832","4672","393611","3635","174626","10002","44530","4696","427134","374","1087267","1010"
"With a disability","15.6","1.5","11.9","0.9","12.4","1.1","14.0","1.0","11.1","0.8","6.2","0.5","7.4","0.5","3.0","0.6","8.8","1.6","8.4","1.1","6.1","0.3","4.5","0.6","13.5","1.7","4.1","1.2","8.9","1.8","11.1","4.1","10.7","1.3","5.2","0.5","7.1","0.6","8.5","1.0","4.4","0.5","5.4","1.0","10.8","3.0","6.6","0.7","6.6","0.4"
"Civilian noninstitutionalized population 65 years and older","55132","2697","47114","1933","35719","2705","63984","885","84001","1519","156623","2231","102779","1806","26710","470","14963","2079","44207","370","260897","1188","143815","2390","32103","2255","21240","1348","21066","2818","5514","1446","51237","576","174106","1762","165184","2579","53969","1231","58822","1035","14389","1756","5132","1232","52703","420","245564","2020"
"With a disability","43.1","2.9","40.6","4.2","43.2","5.2","46.1","3.6","39.2","2.6","44.9","1.8","35.9","2.2","34.3","4.9","39.9","7.1","43.6","4.0","40.4","1.4","28.8","2.4","39.7","6.0","39.2","8.3","38.2","9.3","51.5","11.5","43.3","4.9","29.6","2.1","35.8","1.8","37.8","2.9","28.1","2.7","35.5","7.2","40.7","9.9","31.7","3.4","35.4","1.5"
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 1 year and over","289597","10359","464683","6855","532696","11951","761506","1601","636602","1337","1099355","11375","873173","7954","291072","2787","223949","11187","499856","1372","2055256","2427","909553","13205","243155","7586","185648","4418","201717","14761","60387","8542","414855","1096","1193422","2309","963012","13928","417466","6388","557232","5045","252607","13911","73256","7412","632756","1708","1638093","1981"
