"Occupations","Gender","Boroughs","year","Salary","year_range"
"Installation, maintenance, and repair occupations","Male","Kings County","year2010",38733,"year2010_2013"
"Installation, maintenance, and repair occupations","Male","Kings County","year2011",37316,"year2010_2013"
"Installation, maintenance, and repair occupations","Male","Kings County","year2012",40899,"year2010_2013"
"Installation, maintenance, and repair occupations","Male","Kings County","year2013",42053,"year2010_2013"
"Installation, maintenance, and repair occupations","Male","Kings County","year2014",42488,"year2014_2016"
"Installation, maintenance, and repair occupations","Male","Kings County","year2015",41413,"year2014_2016"
"Installation, maintenance, and repair occupations","Male","Kings County","year2016",45102,"year2014_2016"
"Installation, maintenance, and repair occupations","Male","Kings County","year2017",43810,"year2017_2019"
"Installation, maintenance, and repair occupations","Male","Kings County","year2018",50738,"year2017_2019"
"Installation, maintenance, and repair occupations","Male","Kings County","year2019",58089,"year2017_2019"
"Production occupations","Male","Kings County","year2010",27122,"year2010_2013"
"Production occupations","Male","Kings County","year2011",23281,"year2010_2013"
"Production occupations","Male","Kings County","year2012",30433,"year2010_2013"
"Production occupations","Male","Kings County","year2013",31318,"year2010_2013"
"Production occupations","Male","Kings County","year2014",26896,"year2014_2016"
"Production occupations","Male","Kings County","year2015",29450,"year2014_2016"
"Production occupations","Male","Kings County","year2016",30184,"year2014_2016"
"Production occupations","Male","Kings County","year2017",36684,"year2017_2019"
"Production occupations","Male","Kings County","year2018",35740,"year2017_2019"
"Production occupations","Male","Kings County","year2019",35384,"year2017_2019"
"Transportation occupations","Male","Kings County","year2010",31139,"year2010_2013"
"Transportation occupations","Male","Kings County","year2011",27263,"year2010_2013"
"Transportation occupations","Male","Kings County","year2012",30314,"year2010_2013"
"Transportation occupations","Male","Kings County","year2013",28661,"year2010_2013"
"Transportation occupations","Male","Kings County","year2014",28116,"year2014_2016"
"Transportation occupations","Male","Kings County","year2015",30234,"year2014_2016"
"Transportation occupations","Male","Kings County","year2016",30429,"year2014_2016"
"Transportation occupations","Male","Kings County","year2017",33789,"year2017_2019"
"Transportation occupations","Male","Kings County","year2018",35588,"year2017_2019"
"Transportation occupations","Male","Kings County","year2019",31914,"year2017_2019"
"Material moving occupations","Male","Kings County","year2010",20032,"year2010_2013"
"Material moving occupations","Male","Kings County","year2011",24235,"year2010_2013"
"Material moving occupations","Male","Kings County","year2012",25705,"year2010_2013"
"Material moving occupations","Male","Kings County","year2013",22862,"year2010_2013"
"Material moving occupations","Male","Kings County","year2014",23095,"year2014_2016"
"Material moving occupations","Male","Kings County","year2015",22256,"year2014_2016"
"Material moving occupations","Male","Kings County","year2016",22998,"year2014_2016"
"Material moving occupations","Male","Kings County","year2017",25903,"year2017_2019"
"Material moving occupations","Male","Kings County","year2018",25585,"year2017_2019"
"Material moving occupations","Male","Kings County","year2019",26797,"year2017_2019"
"Management occupations","Female","Kings County","year2010",55771,"year2010_2013"
"Management occupations","Female","Kings County","year2011",57321,"year2010_2013"
