Occupations,Gender,Boroughs,year,Salary,year_range,Salary_avg,Salary_year,Salary_county,Salary_gender,Salary_YearlyAvg
Food preparation and serving related occupations,Male,Bronx County,year2016,21296.0,year2014_2016,20255.33333333333,19222.46666666667,18486.25,22323.66,20797.0
Food preparation and serving related occupations,Male,Bronx County,year2017,22886.0,year2017_2019,23944.66666666667,23472.73333333333,18486.25,22323.66,21389.6
Food preparation and serving related occupations,Male,Bronx County,year2018,24204.0,year2017_2019,23944.66666666667,23472.73333333333,18486.25,22323.66,24147.0
Food preparation and serving related occupations,Male,Bronx County,year2019,24744.0,year2017_2019,23944.66666666667,23472.73333333333,18486.25,22323.66,24881.6
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2010,25166.0,year2010_2013,26513.0,23135.075,22414.6,31014.96,23259.2
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2011,25074.0,year2010_2013,26513.0,23135.075,22414.6,31014.96,23153.3
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2012,29505.0,year2010_2013,26513.0,23135.075,22414.6,31014.96,23100.4
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2013,26307.0,year2010_2013,26513.0,23135.075,22414.6,31014.96,23027.4
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2014,22303.0,year2014_2016,26476.66666666667,24679.03333333334,22414.6,31014.96,22849.4
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2015,30254.0,year2014_2016,26476.66666666667,24679.03333333334,22414.6,31014.96,24977.5
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2016,26873.0,year2014_2016,26476.66666666667,24679.03333333334,22414.6,31014.96,26210.2
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2017,27204.0,year2017_2019,28757.0,28573.63333333334,22414.6,31014.96,28024.3
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2018,26755.0,year2017_2019,28757.0,28573.63333333334,22414.6,31014.96,27660.7
Building and grounds cleaning and maintenance occupations,Male,Bronx County,year2019,32312.0,year2017_2019,28757.0,28573.63333333334,22414.6,31014.96,30035.9
Personal care and service occupations,Male,Bronx County,year2010,24566.0,year2010_2013,25593.25,21011.5,21042.2,27136.92,21675.7
Personal care and service occupations,Male,Bronx County,year2011,27188.0,year2010_2013,25593.25,21011.5,21042.2,27136.92,22224.5
Personal care and service occupations,Male,Bronx County,year2012,22220.0,year2010_2013,25593.25,21011.5,21042.2,27136.92,19194.3
Personal care and service occupations,Male,Bronx County,year2013,28399.0,year2010_2013,25593.25,21011.5,21042.2,27136.92,20951.5
Personal care and service occupations,Male,Bronx County,year2014,21945.0,year2014_2016,25964.0,20843.333333333336,21042.2,27136.92,19475.6
Personal care and service occupations,Male,Bronx County,year2015,24960.0,year2014_2016,25964.0,20843.333333333336,21042.2,27136.92,20143.8
Personal care and service occupations,Male,Bronx County,year2016,30987.0,year2014_2016,25964.0,20843.333333333336,21042.2,27136.92,22910.6
Personal care and service occupations,Male,Bronx County,year2017,26783.0,year2017_2019,30463.66666666667,25723.533333333344,21042.2,27136.92,23227.9
Personal care and service occupations,Male,Bronx County,year2018,29521.0,year2017_2019,30463.66666666667,25723.533333333344,21042.2,27136.92,27452.7
Personal care and service occupations,Male,Bronx County,year2019,35087.0,year2017_2019,30463.66666666667,25723.533333333344,21042.2,27136.92,26490.0
Sales and related occupations,Male,Bronx County,year2010,24829.0,year2010_2013,22365.5,31850.1,19894.35,43636.78,31559.5
Sales and related occupations,Male,Bronx County,year2011,21561.0,year2010_2013,22365.5,31850.1,19894.35,43636.78,30991.4
Sales and related occupations,Male,Bronx County,year2012,23103.0,year2010_2013,22365.5,31850.1,19894.35,43636.78,31802.1
Sales and related occupations,Male,Bronx County,year2013,19969.0,year2010_2013,22365.5,31850.1,19894.35,43636.78,33047.4
Sales and related occupations,Male,Bronx County,year2014,25578.0,year2014_2016,24169.0,33884.4,19894.35,43636.78,34313.0
Sales and related occupations,Male,Bronx County,year2015,21825.0,year2014_2016,24169.0,33884.4,19894.35,43636.78,33053.7
Sales and related occupations,Male,Bronx County,year2016,25104.0,year2014_2016,24169.0,33884.4,19894.35,43636.78,34286.5
Sales and related occupations,Male,Bronx County,year2017,22080.0,year2017_2019,27538.33333333333,38597.83333333334,19894.35,43636.78,35174.1
Sales and related occupations,Male,Bronx County,year2018,30264.0,year2017_2019,27538.33333333333,38597.83333333334,19894.35,43636.78,40100.8
Sales and related occupations,Male,Bronx County,year2019,30271.0,year2017_2019,27538.33333333333,38597.83333333334,19894.35,43636.78,40518.6
Office and administrative support occupations,Male,Bronx County,year2010,27301.0,year2010_2013,28480.5,33996.275,31473.8,36337.16,33895.3
Office and administrative support occupations,Male,Bronx County,year2011,28801.0,year2010_2013,28480.5,33996.275,31473.8,36337.16,33567.9
Office and administrative support occupations,Male,Bronx County,year2012,28406.0,year2010_2013,28480.5,33996.275,31473.8,36337.16,34271.2
Office and administrative support occupations,Male,Bronx County,year2013,29414.0,year2010_2013,28480.5,33996.275,31473.8,36337.16,34250.7
Office and administrative support occupations,Male,Bronx County,year2014,25421.0,year2014_2016,26108.66666666667,34316.0,31473.8,36337.16,33121.8
Office and administrative support occupations,Male,Bronx County,year2015,27270.0,year2014_2016,26108.66666666667,34316.0,31473.8,36337.16,33969.0
Office and administrative support occupations,Male,Bronx County,year2016,25635.0,year2014_2016,26108.66666666667,34316.0,31473.8,36337.16,35857.2
Office and administrative support occupations,Male,Bronx County,year2017,30997.0,year2017_2019,33671.333333333336,40532.43333333333,31473.8,36337.16,37235.8
Office and administrative support occupations,Male,Bronx County,year2018,33006.0,year2017_2019,33671.333333333336,40532.43333333333,31473.8,36337.16,42117.6
Office and administrative support occupations,Male,Bronx County,year2019,37011.0,year2017_2019,33671.333333333336,40532.43333333333,31473.8,36337.16,42243.9
